vocab,freq
欠,906
扫,904
物,901
值,897
打,887
明,885
外,873
重,868
品,864
呀,862
认,858
条,852
吧,835
选,829
权,820
调,804
入,803
够,792
脸,786
制,785
红,779
中,775
己,766
询,742
原,738
同,735
得,735
友,725
按,724
务,710
接,706
押,706
刷,697
合,695
发,690
先,689
客,688
掉,681
订,675
双,673
注,671
跟,665
滴,658
维,656
易,654
晚,653
性,649
迟,648
加,648
第,647
足,647
道,647
总,647
删,643
实,641
授,633
因,632
确,624
小,619
少,618
生,617
数,600
卖,599
情,588
代,585
错,585
主,585
修,579
长,568
忘,566
起,563
延,562
统,558
失,557
醒,553
些,542
该,541
停,540
活,538
式,536
险,535
常,532
返,524
应,519
作,516
它,512
领,504
体,504
销,499
与,498
大,497
十,492
朋,490
符,484
放,482
评,482
存,474
线,471
微,469
口,466
久,465
券,462
却,453
安,447
择,446
共,444
其,443
产,442
估,442
于,440
蚁,437
兑,436
蚂,435
预,434
操,428
核,426
名,424
弄,422
美,422
审,421
他,421
暂,416
剩,415
缴,411
抽,406
整,405
邮,405
资,403
火,403
奖,400
风,400
理,398
正,395
满,395
页,392
团,391
优,389
约,380
减,373
继,366
市,359
识,358
忙,355
败,355
计,351
况,351
业,350
所,350
见,344
处,338
题,336
享,326
推,320
项,306
级,305
而,303
比,302
联,299
p,298
涨,297
a,295
透,294
等,293
铺,292
子,292
细,290
率,290
或,286
贴,284
照,283
首,281
区,279
邀,276
切,276
油,275
必,273
做,272
老,271
学,271
始,270
啦,269
快,264
流,264
突,263
须,262
公,262
零,259
猫,257
誉,257
储,256
心,255
脑,253
贝,253
津,252
繁,252
叫,249
蓄,249
讯,246
惠,239
册,237
填,237
三,235
政,234
边,234
陆,233
q,231
启,229
历,226
碑,225
马,225
冲,223
尽,222
求,221
并,218
很,214
量,214
水,210
永,210
底,206
张,202
年,202
工,201
将,200
封,200
致,197
受,196
谢,195
营,193
员,193
s,193
料,191
地,190
太,189
传,188
衣,188
向,187
送,185
者,183
输,181
怎,180
执,179
半,178
格,176
游,175
房,175
内,174
们,173
签,171
标,171
拜,170
立,168
且,166
周,163
具,163
箱,163
戏,162
随,161
增,160
顾,159
境,159
午,158
摩,158
运,157
丢,156
般,156
卷,155
着,152
写,150
善,150
差,150
固,150
六,148
租,147
o,147
保,146
抵,145
儿,145
诉,143
试,141
移,140
酒,140
近,139
效,137
止,137
像,135
干,134
留,133
住,133
早,132
连,129
拿,129
什,128
价,127
击,124
达,124
唄,122
万,120
违,120
撤,119
摇,119
越,119
带,118
化,118
良,118
规,117
及,117
补,116
顺,116
任,116
反,115
宽,110
咨,110
序,110
隐,109
搞,109
蓝,108
初,107
国,107
指,106
端,104
藏,104
履,103
农,101
门,99
b,99
麻,98
际,98
便,98
即,98
烦,97
台,97
决,94
黄,93
真,93
准,92
礼,92
i,92
界,91
励,90
获,90
管,89
访,89
误,88
站,88
目,88
导,88
慢,87
种,87
尾,87
场,86
倍,86
哈,86
飞,85
图,85
平,85
苹,85
相,83
字,81
速,81
币,80
助,80
旧,80
饿,79
载,79
纳,78
益,77
盒,77
走,75
待,74
概,74
往,74
建,74
专,74
饭,73
懂,72
添,72
断,72
划,71
属,71
昨,71
谁,71
软,71
至,70
途,70
白,70
激,69
假,69
急,69
阿,68
许,67
拍,66
翻,66
允,65
校,65
详,65
e,63
投,63
集,62
则,61
气,61
程,61
由,61
根,61
玩,61
吃,61
五,60
报,60
罗,60
版,59
邦,58
适,58
京,58
议,58
n,58
状,58
默,57
步,57
占,56
头,56
劵,56
备,56
告,56
售,56
闲,55
司,54
答,54
壳,54
片,53
基,53
节,53
此,53
挖,52
赠,52
m,52
据,51
空,51
麽,50
截,50
企,50
社,50
鱼,49
妈,49
址,49
环,49
志,49
餐,48
强,48
综,47
百,47
故,47
港,46
感,46
禁,46
态,46
俩,45
罚,45
她,45
元,45
锁,45
描,45
装,44
坏,44
右,44
批,44
h,44
村,44
觉,43
c,43
循,43
纸,43
替,43
钟,42
读,42
挂,42
段,42
异,41
键,41
护,41
归,41
抢,41
拼,41
供,40
龄,40
望,39
控,39
表,39
拖,39
f,39
猪,38
极,38
稍,37
希,37
括,37
远,37
仍,37
跳,37
位,37
l,37
质,36
协,36
疑,36
酷,35
窗,35
左,35
香,35
乱,35
城,35
毛,34
楚,34
非,34
四,34
递,33
院,33
纪,33
参,32
石,32
海,32
依,32
链,32
奇,32
今,32
紧,32
官,31
组,31
类,31
沒,31
医,31
巴,31
1,31
印,30
范,30
围,30
听,30
广,30
终,30
催,30
咯,30
牌,29
附,29
v,29
u,29
路,29
t,29
毕,28
普,28
教,28
书,28
景,27
乐,27
缘,27
色,27
麼,27
若,27
彻,27
凭,27
束,27
虚,27
特,27
荐,26
频,26
互,26
捡,26
迹,26
造,26
弹,26
k,26
难,26
偿,26
史,26
拟,26
福,25
拉,25
障,25
灰,25
爱,25
赚,25
财,25
d,25
含,24
视,24
黑,24
刻,24
缓,24
缺,24
累,24
食,23
民,23
华,23
坐,23
庆,23
九,23
末,23
隔,23
蜜,23
独,23
欢,23
拥,23
骗,23
莫,23
套,23
挺,23
折,22
撒,22
络,22
”,22
忽,22
宁,22
王,22
杂,22
凌,21
卸,21
遇,21
较,21
鬼,21
w,21
怕,21
鞋,20
晨,20
咱,20
x,20
容,20
寄,20
玛,20
径,20
叠,20
暖,19
澳,19
光,19
招,19
栏,19
例,19
尔,19
馆,19
春,19
林,19
苏,19
义,19
煤,19
纹,19
文,19
融,18
乘,18
吖,18
g,18
艺,18
列,18
森,18
各,18
旅,18
讲,18
r,18
章,18
器,18
肯,17
唯,17
宜,17
居,17
y,17
润,17
力,17
姐,17
略,17
偷,17
钥,17
匙,17
5,17
压,16
德,16
渠,16
担,16
洗,16
岁,16
术,16
拒,16
赔,16
喜,16
曰,16
展,16
嗎,16
死,16
债,16
形,15
省,15
呐,15
承,15
既,15
检,15
危,15
测,15
刮,15
荣,15
捆,15
令,15
彩,15
介,15
愈,14
角,14
混,14
倒,14
沃,14
裤,14
严,14
耀,14
伸,14
屏,14
汽,14
骑,14
追,14
尝,14
股,14
秒,14
顶,14
型,13
州,13
俞,13
缩,13
语,13
钮,13
秘,13
宾,13
齐,13
贵,13
喔,13
米,13
神,13
象,12
搜,12
燃,12
药,12
饲,12
南,12
释,12
星,12
還,12
绝,12
0,12
辆,12
块,12
嘞,12
休,11
钻,11
考,11
嚒,11
％,11
域,11
千,11
夜,11
携,11
捷,11
害,11
案,11
8,11
论,11
坑,11
妙,11
八,11
板,11
厅,11
某,11
绍,11
額,11
膜,11
判,11
举,11
呵,11
触,10
菜,10
音,10
3,10
麦,10
骤,10
堤,10
病,10
圈,10
热,10
z,10
垫,10
乡,10
袋,9
离,9
副,9
绿,9
深,9
遍,9
坝,9
采,9
9,9
劳,9
開,9
亮,9
铁,9
称,9
托,9
赶,9
敢,9
构,9
靠,9
j,9
摊,9
佣,9
巳,9
跨,9
喃,9
怪,9
烟,9
2,9
函,9
斯,8
守,8
為,8
喊,8
7,8
抠,8
佳,8
索,8
模,8
智,8
揭,8
球,8
盖,8
征,8
盗,8
富,8
园,8
欺,8
4,8
跃,8
卓,8
配,8
殊,8
怀,8
局,8
航,8
甚,8
旗,7
众,7
聊,7
尼,7
愿,7
势,7
粉,7
悦,7
排,7
滞,7
汇,7
聚,7
哥,7
曾,7
背,7
竟,7
蘑,7
菇,7
街,7
啤,7
冰,7
女,7
似,7
亚,7
患,7
仅,7
遗,7
养,7
稳,6
孩,6
侯,6
梦,6
责,6
吹,6
私,6
鸡,6
候,6
逼,6
材,6
摄,6
损,6
．,6
姓,6
锅,6
救,6
龙,6
县,6
劲,6
蚱,6
困,6
晰,6
斥,6
脉,6
柜,6
婆,6
唤,6
爸,6
恶,6
泰,6
庄,6
寻,6
哇,6
声,6
馈,6
圣,5
诞,5
引,5
谓,5
讨,5
亏,5
毒,5
源,5
跑,5
陌,5
蚊,5
迪,5
晶,5
滑,5
岀,5
喻,5
掏,5
闷,5
河,5
策,5
莪,5
赢,5
蛋,5
画,5
旺,5
宿,5
勒,5
锤,5
拾,5
弟,5
男,5
冷,5
七,5
妹,5
废,5
辨,5
佘,5
江,5
虽,5
廷,5
扰,5
奶,4
央,4
勾,4
腿,4
時,4
厌,4
陪,4
丫,4
阵,4
技,4
税,4
律,4
挣,4
請,4
腾,4
珠,4
辉,4
悔,4
弃,4
晕,4
世,4
咧,4
粒,4
韩,4
逸,4
郁,4
蛮,4
克,4
闪,4
丰,4
厂,4
凑,4
炒,4
狗,4
卫,4
丟,4
耽,4
佰,4
乎,4
逊,4
寶,4
毁,4
丝,4
念,4
涵,4
素,4
喽,4
课,4
惩,4
浦,4
均,4
眼,4
镜,4
赁,4
健,4
武,4
拓,4
框,4
痛,4
铂,4
析,4
碼,4
洁,4
甘,4
肃,4
⊙,4
杰,4
瑜,4
攻,4
奥,3
茶,3
別,3
搭,3
祥,3
疆,3
嫩,3
歌,3
娱,3
滚,3
贩,3
桌,3
辞,3
骂,3
阅,3
棒,3
逛,3
扔,3
杭,3
轮,3
闻,3
捐,3
灯,3
创,3
裹,3
問,3
队,3
傅,3
饮,3
济,3
北,3
綁,3
銀,3
兴,3
亿,3
战,3
室,3
弊,3
糕,3
洞,3
疗,3
裙,3
育,3
盛,3
哩,3
座,3
舰,3
!,3
铲,3
粮,3
耶,3
咖,3
杳,3
职,3
露,3
晓,3
螞,3
蟻,3
喝,3
援,3
沟,3
涮,3
士,3
蔽,3
覆,3
康,3
味,3
温,3
個,3
×,3
錢,3
派,3
予,3
冯,3
狂,3
圆,3
耗,3
逐,3
皮,3
瓜,3
青,3
6,3
破,3
习,3
惯,3
汉,3
惜,3
班,3
吵,3
施,3
貌,3
帳,3
架,3
吊,3
布,3
杯,3
究,3
鲜,3
眨,3
邻,3
苦,3
啧,3
仟,2
吓,2
虑,2
兄,2
鸭,2
宗,2
凊,2
渝,2
費,2
怅,2
避,2
徽,2
挑,2
湖,2
迅,2
湾,2
拆,2
￣,2
剛,2
貝,2
陶,2
睡,2
幕,2
肥,2
臂,2
跌,2
纯,2
液,2
鸣,2
山,2
盟,2
肿,2
泥,2
颗,2
摸,2
烈,2
诚,2
∩,2
群,2
瞬,2
爆,2
庭,2
母,2
雷,2
霆,2
旦,2
胜,2
漏,2
挨,2
耍,2
贱,2
乍,2
咔,2
赌,2
羊,2
秀,2
鼓,2
姨,2
冒,2
雨,2
赖,2
迫,2
臨,2
矿,2
笑,2
简,2
童,2
衫,2
衡,2
命,2
仔,2
瓶,2
尴,2
尬,2
洛,2
鲁,2
丶,2
屁,2
倩,2
糯,2
踢,2
洲,2
勇,2
俄,2
绷,2
虹,2
厘,2
牵,2
扯,2
胡,2
坚,2
亡,2
圳,2
摆,2
歉,2
萌,2
撑,2
辈,2
瞒,2
贺,2
赋,2
横,2
英,2
穷,2
籍,2
収,2
欧,2
妆,2
幅,2
映,2
牙,2
颜,2
魅,2
族,2
驻,2
楼,2
辜,2
甲,2
赏,2
夏,2
豆,2
句,2
媛,2
嗷,2
乙,2
呜,2
脱,2
懒,2
吋,2
鸟,2
措,2
玉,2
蜂,2
涉,2
精,2
诺,2
昌,2
辣,2
旬,2
　,2
父,2
購,2
跪,2
云,2
巾,2
师,2
丽,2
夸,2
恁,2
哭,2
紅,2
曼,2
粑,2
挷,2
啷,2
昵,2
枪,2
叶,2
攒,2
岂,2
凡,2
袜,2
浪,2
李,2
挽,2
伦,2
军,2
≥,2
惑,2
尚,2
仙,2
散,2
掌,2
ｐ,2
骚,2
戒,2
距,2
囗,2
木,2
迈,2
辛,2
悄,2
灣,2
淸,1
苑,1
旁,1
欹,1
丹,1
割,1
绳,1
氣,1
冋,1
针,1
叧,1
厚,1
贯,1
牢,1
威,1
琐,1
植,1
鼻,1
嫂,1
卅,1
纷,1
争,1
撸,1
珊,1
冬,1
尺,1
寸,1
驾,1
荆,1
飘,1
卜,1
叻,1
槛,1
墨,1
灶,1
嗨,1
酬,1
呮,1
顿,1
沙,1
噶,1
田,1
洪,1
隆,1
揍,1
叹,1
贞,1
鹿,1
咸,1
厦,1
無,1
帜,1
敗,1
減,1
耐,1
茌,1
嫁,1
＝,1
侍,1
虾,1
血,1
戚,1
博,1
杀,1
献,1
洋,1
熟,1
巧,1
捏,1
吻,1
溜,1
罰,1
阁,1
弱,1
陷,1
科,1
抗,1
兜,1
弍,1
刪,1
赞,1
啡,1
勿,1
佝,1
咩,1
壹,1
阳,1
蕾,1
泄,1
言,1
設,1
柔,1
啮,1
査,1
娘,1
叭,1
镇,1
鍀,1
徐,1
鹰,1
胞,1
乃,1
砸,1
察,1
錯,1
绐,1
抱,1
泪,1
仪,1
執,1
瞪,1
醉,1
刀,1
轲,1
睌,1
乛,1
谱,1
現,1
饰,1
啵,1
兆,1
库,1
佩,1
弘,1
硕,1
垃,1
圾,1
囙,1
嗳,1
稀,1
糊,1
涂,1
燕,1
匆,1
肔,1
帽,1
夠,1
譬,1
剁,1
牛,1
剪,1
〈,1
杠,1
镸,1
郎,1
犹,1
莉,1
渐,1
洼,1
悬,1
眷,1
谅,1
笼,1
踪,1
溢,1
帝,1
夂,1
蜀,1
疯,1
夕,1
柳,1
潜,1
捞,1
抹,1
愉,1
挤,1
盲,1
玏,1
莞,1
阶,1
栋,1
碰,1
膏,1
虎,1
播,1
碍,1
腐,1
調,1
皇,1
胀,1
阖,1
颌,1
迁,1
粘,1
牫,1
肉,1
慎,1
挪,1
舍,1
栅,1
脚,1
古,1
杞,1
逗,1
浆,1
疼,1
荒,1
静,1
∠,1
※,1
貸,1
擅,1
档,1
權,1
练,1
蝼,1
啲,1
防,1
雪,1
拨,1
肆,1
機,1
塞,1
叨,1
説,1
迷,1
禾,1
﻿,1
芝,1
ㄥ,1
扛,1
抚,1
痒,1
浏,1
览,1
宣,1
扥,1
夫,1
梆,1
湘,1
祢,1
剐,1
净,1
趣,1
兩,1
喀,1
鼠,1
嫌,1
羽,1
绒,1
剑,1
毙,1
衰,1
梓,1
绩,1
茨,1
伙,1
泸,1
粤,1
☆,1
肤,1
袖,1
桂,1
經,1
貨,1
寒,1
钩,1
摁,1
碌,1
辟,1
嘟,1
腨,1
ⅴ,1
坯,1
钓,1
亊,1
匹,1
筠,1
肖,1
促,1
幺,1
蒋,1
盐,1
榜,1
瑟,1
厉,1
壁,1
踩,1
峰,1
換,1
鉴,1
屡,1
拣,1
屈,1
臣,1
氏,1
傲,1
扎,1
灵,1
抬,1
础,1
忍,1
戟,1
呦,1
努,1
呸,1
赎,1
唱,1
－,1
拘,1
盘,1
翔,1
猛,1
谈,1
栓,1
胃,1
熊,1
評,1
給,1
草,1
撩,1
拱,1
珐,1
規,1
則,1
屎,1
婴,1
遲,1
車,1
镀,1
扑,1
莲,1
樣,1
慧,1
述,1
磨,1
伎,1
伊,1
扮,1
歧,1
哒,1
棉,1
ａ,1
驗,1
證,1
阔,1
臭,1
裁,1
矩,1
轻,1
餮,1
泝,1
捕,1
绊,1
岛,1
爽,1
扩,1
宫,1
♂,1
幵,1
堡,1
酱,1
衬,1
戗,1
粗,1
脆,1
恒,1
脖,1
蔡,1
培,1
伏,1
阪,1
伤,1
暴,1
鈤,1
湿,1
监,1
督,1
殖,1
說,1
编,1
堆,1
磕,1
甜,1
∵,1
鹅,1
倡,1
辩,1
吸,1
搁,1
簇,1
吉,1
焦,1
届,1
杜,1
拳,1
土,1
耳,1
烤,1
糟,1
绪,1
忠,1
歆,1
恼,1
兵,1
谝,1
昰,1
凯,1
娜,1
崇,1
伽,1
匿,1
篮,1
柬,1
埔,1
寨,1
戶,1
尿,1
螺,1
蛳,1
睛,1
阻,1
凤,1
［,1
］,1
弑,1
骆,1
驼,1
孕,1
缸,1
